"","temp","nr","stability","S","CA","CS","CB","N"
"108",305.528523489933,0.015,"bistable",1016.65,0.76,8.38,8145.22,0.02
"109",305.590939597315,0.015,"bistable",1015.45,0.76,8.37,8097.54,0.02
"110",305.653355704698,0.015,"bistable",1013.99,0.76,8.36,8048.27,0.03
"111",305.715771812081,0.015,"bistable",1012.17,0.76,8.34,7996.77,0.03
"112",305.778187919463,0.015,"bistable",1009.83,0.76,8.32,7941.99,0.03
"113",305.840604026846,0.015,"bistable",1006.73,0.75,8.3,7882.24,0.04
"114",305.903020134228,0.015,"bistable",1002.42,0.75,8.27,7814.47,0.04
"115",305.965436241611,0.015,"bistable",996,0.75,8.22,7732.66,0.05
"116",306.027852348993,0.015,"bistable",985.44,0.75,8.13,7622.96,0.07
"117",306.090268456376,0.015,"bistable",964.67,0.75,7.97,7444.28,0.11
"118",306.152684563758,0.015,"bistable",902.36,0.74,7.48,6983.89,0.2
"119",306.215100671141,0.015,"bare",0,0.14,0,117.3,1.15
"120",306.277516778523,0.015,"bare",0,0.14,0,116.58,1.15
"121",306.339932885906,0.015,"bare",0,0.14,0,115.86,1.15
"122",306.402348993289,0.015,"bare",0,0.14,0,115.14,1.15
"123",306.464765100671,0.015,"bare",0,0.14,0,114.43,1.15
"124",306.527181208054,0.015,"bare",0,0.14,0,113.72,1.15
"125",306.589597315436,0.015,"bare",0,0.14,0,113.02,1.15
"126",306.652013422819,0.015,"bare",0,0.14,0,112.32,1.15
"127",306.714429530201,0.015,"bare",0,0.14,0,111.63,1.15
"128",306.776845637584,0.015,"bare",0,0.14,0,110.94,1.15
"129",306.839261744966,0.015,"bare",0,0.14,0,110.25,1.15
"130",306.901677852349,0.015,"bare",0,0.14,0,109.57,1.15
"131",306.964093959732,0.015,"bare",0,0.14,0,108.89,1.15
"132",307.026510067114,0.015,"bare",0,0.14,0,108.21,1.15
"133",307.088926174497,0.015,"bare",0,0.14,0,107.54,1.15
"134",307.151342281879,0.015,"bare",0,0.14,0,106.87,1.15
"135",307.213758389262,0.015,"bare",0,0.14,0,106.21,1.15
"136",307.276174496644,0.015,"bare",0,0.14,0,105.55,1.15
"137",307.338590604027,0.015,"bare",0,0.14,0,104.9,1.15
"138",307.401006711409,0.015,"bare",0,0.14,0,104.24,1.15
"139",307.463422818792,0.015,"bare",0,0.14,0,103.6,1.15
"140",307.525838926174,0.015,"bare",0,0.14,0,102.95,1.15
"141",307.588255033557,0.015,"bare",0,0.14,0,102.31,1.15
"142",307.65067114094,0.015,"bare",0,0.14,0,101.67,1.15
"143",307.713087248322,0.015,"bare",0,0.14,0,101.04,1.15
"144",307.775503355705,0.015,"bare",0,0.14,0,100.41,1.15
"145",307.837919463087,0.015,"bare",0,0.14,0,99.79,1.15
"146",307.90033557047,0.015,"bare",0,0.14,0,99.17,1.15
"147",307.962751677852,0.015,"bare",0,0.13,0,98.55,1.15
"148",308.025167785235,0.015,"bare",0,0.13,0,97.93,1.15
"149",308.087583892617,0.015,"bare",0,0.13,0,97.32,1.15
"150",308.15,0.015,"bare",0,0.13,0,96.71,1.15
"151",298.85,0.0155704697986577,"seagrass",1026.66,0.89,8.47,13897.04,0.01
"152",298.912416107383,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13827.74,0.01
"153",298.974832214765,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13758.79,0.01
"154",299.037248322148,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13690.22,0.01
"155",299.09966442953,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13622,0.01
"156",299.162080536913,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13554.15,0.01
"157",299.224496644295,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13486.65,0.01
"158",299.286912751678,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13419.51,0.01
"159",299.34932885906,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13352.72,0.01
"160",299.411744966443,0.0155704697986577,"seagrass",1026.66,0.88,8.47,13286.29,0.01
"161",299.474161073826,0.0155704697986577,"seagrass",1026.66,0.87,8.47,13220.2,0.01
"162",299.536577181208,0.0155704697986577,"seagrass",1026.66,0.87,8.47,13154.46,0.01
"163",299.598993288591,0.0155704697986577,"seagrass",1026.66,0.87,8.47,13089.07,0.01
"164",299.661409395973,0.0155704697986577,"seagrass",1026.66,0.87,8.47,13024.03,0.01
"165",299.723825503356,0.0155704697986577,"seagrass",1026.65,0.87,8.47,12959.32,0.01
"166",299.786241610738,0.0155704697986577,"seagrass",1026.65,0.87,8.47,12894.96,0.01
"167",299.848657718121,0.0155704697986577,"seagrass",1026.65,0.87,8.47,12830.93,0.01
"168",299.911073825503,0.0155704697986577,"seagrass",1026.65,0.87,8.47,12767.24,0.01
"169",299.973489932886,0.0155704697986577,"seagrass",1026.64,0.87,8.47,12703.88,0.01
"170",300.035906040268,0.0155704697986577,"seagrass",1026.64,0.86,8.47,12640.86,0.01
"171",300.098322147651,0.0155704697986577,"seagrass",1026.64,0.86,8.47,12578.17,0.01
"172",300.160738255034,0.0155704697986577,"seagrass",1026.63,0.86,8.47,12515.8,0.01
"173",300.223154362416,0.0155704697986577,"seagrass",1026.63,0.86,8.47,12453.76,0.01
"174",300.285570469799,0.0155704697986577,"seagrass",1026.62,0.86,8.47,12392.05,0.01
"175",300.347986577181,0.0155704697986577,"seagrass",1026.62,0.86,8.47,12330.65,0.01
"176",300.410402684564,0.0155704697986577,"seagrass",1026.61,0.86,8.47,12269.58,0.01
"177",300.472818791946,0.0155704697986577,"seagrass",1026.6,0.86,8.47,12208.83,0.01
"178",300.535234899329,0.0155704697986577,"seagrass",1026.6,0.86,8.47,12148.4,0.01
"179",300.597651006711,0.0155704697986577,"seagrass",1026.59,0.85,8.47,12088.28,0.01
"180",300.660067114094,0.0155704697986577,"seagrass",1026.58,0.85,8.47,12028.47,0.01
"181",300.722483221477,0.0155704697986577,"seagrass",1026.57,0.85,8.47,11968.98,0.01
"182",300.784899328859,0.0155704697986577,"seagrass",1026.57,0.85,8.47,11909.79,0.01
"183",300.847315436242,0.0155704697986577,"seagrass",1026.56,0.85,8.47,11850.91,0.01
"184",300.909731543624,0.0155704697986577,"seagrass",1026.55,0.85,8.47,11792.34,0.01
"185",300.972147651007,0.0155704697986577,"seagrass",1026.54,0.85,8.47,11734.08,0.01
"186",301.034563758389,0.0155704697986577,"seagrass",1026.53,0.85,8.47,11676.11,0.01
"187",301.096979865772,0.0155704697986577,"seagrass",1026.52,0.85,8.47,11618.45,0.01
"188",301.159395973154,0.0155704697986577,"seagrass",1026.5,0.84,8.47,11561.08,0.01
"189",301.221812080537,0.0155704697986577,"seagrass",1026.49,0.84,8.47,11504.01,0.01
"190",301.284228187919,0.0155704697986577,"seagrass",1026.48,0.84,8.47,11447.24,0.01
"191",301.346644295302,0.0155704697986577,"seagrass",1026.47,0.84,8.46,11390.76,0.01
"192",301.409060402685,0.0155704697986577,"seagrass",1026.45,0.84,8.46,11334.57,0.01
"193",301.471476510067,0.0155704697986577,"seagrass",1026.44,0.84,8.46,11278.67,0.01
"194",301.53389261745,0.0155704697986577,"seagrass",1026.42,0.84,8.46,11223.06,0.01
"195",301.596308724832,0.0155704697986577,"seagrass",1026.41,0.84,8.46,11167.74,0.01
"196",301.658724832215,0.0155704697986577,"seagrass",1026.39,0.84,8.46,11112.7,0.01
"197",301.721140939597,0.0155704697986577,"seagrass",1026.37,0.83,8.46,11057.94,0.01
"198",301.78355704698,0.0155704697986577,"seagrass",1026.35,0.83,8.46,11003.46,0.01
"199",301.845973154362,0.0155704697986577,"seagrass",1026.33,0.83,8.46,10949.26,0.01
"200",301.908389261745,0.0155704697986577,"seagrass",1026.31,0.83,8.46,10895.34,0.01
"201",301.970805369128,0.0155704697986577,"seagrass",1026.29,0.83,8.46,10841.69,0.01
"202",302.03322147651,0.0155704697986577,"seagrass",1026.27,0.83,8.46,10788.32,0.01
"203",302.095637583893,0.0155704697986577,"seagrass",1026.25,0.83,8.46,10735.22,0.01
"204",302.158053691275,0.0155704697986577,"seagrass",1026.22,0.83,8.46,10682.39,0.01
"205",302.220469798658,0.0155704697986577,"seagrass",1026.2,0.83,8.46,10629.83,0.01
"206",302.28288590604,0.0155704697986577,"seagrass",1026.17,0.82,8.46,10577.53,0.01
"207",302.345302013423,0.0155704697986577,"seagrass",1026.15,0.82,8.46,10525.5,0.01
"208",302.407718120805,0.0155704697986577,"seagrass",1026.12,0.82,8.46,10473.73,0.01
"209",302.470134228188,0.0155704697986577,"seagrass",1026.09,0.82,8.46,10422.22,0.01
"210",302.53255033557,0.0155704697986577,"seagrass",1026.06,0.82,8.46,10370.97,0.01
"211",302.594966442953,0.0155704697986577,"seagrass",1026.02,0.82,8.46,10319.97,0.01
"212",302.657382550336,0.0155704697986577,"seagrass",1025.99,0.82,8.46,10269.23,0.01
"213",302.719798657718,0.0155704697986577,"seagrass",1025.96,0.82,8.46,10218.75,0.01
"214",302.782214765101,0.0155704697986577,"seagrass",1025.92,0.81,8.46,10168.51,0.01
"215",302.844630872483,0.0155704697986577,"seagrass",1025.88,0.81,8.46,10118.52,0.01
"216",302.907046979866,0.0155704697986577,"seagrass",1025.84,0.81,8.46,10068.78,0.01
"217",302.969463087248,0.0155704697986577,"seagrass",1025.8,0.81,8.46,10019.29,0.01
"218",303.031879194631,0.0155704697986577,"seagrass",1025.75,0.81,8.46,9970.03,0.01
"219",303.094295302013,0.0155704697986577,"seagrass",1025.7,0.81,8.45,9921.02,0.01
"220",303.156711409396,0.0155704697986577,"seagrass",1025.66,0.81,8.45,9872.24,0.01
"221",303.219127516779,0.0155704697986577,"seagrass",1025.6,0.81,8.45,9823.7,0.01
"222",303.281543624161,0.0155704697986577,"seagrass",1025.55,0.81,8.45,9775.4,0.01
"223",303.343959731544,0.0155704697986577,"seagrass",1025.49,0.8,8.45,9727.32,0.01
"224",303.406375838926,0.0155704697986577,"seagrass",1025.43,0.8,8.45,9679.47,0.01
"225",303.468791946309,0.0155704697986577,"seagrass",1025.37,0.8,8.45,9631.85,0.01
"226",303.531208053691,0.0155704697986577,"seagrass",1025.3,0.8,8.45,9584.45,0.01
"227",303.593624161074,0.0155704697986577,"seagrass",1025.23,0.8,8.45,9537.26,0.01
"228",303.656040268456,0.0155704697986577,"seagrass",1025.16,0.8,8.45,9490.3,0.01
"229",303.718456375839,0.0155704697986577,"seagrass",1025.08,0.8,8.45,9443.55,0.01
"230",303.780872483221,0.0155704697986577,"seagrass",1025,0.8,8.45,9397.01,0.01
"231",303.843288590604,0.0155704697986577,"seagrass",1024.91,0.79,8.45,9350.67,0.01
"232",303.905704697987,0.0155704697986577,"bistable",1024.82,0.79,8.45,9304.54,0.01
"233",303.968120805369,0.0155704697986577,"bistable",1024.72,0.79,8.45,9258.6,0.01
"234",304.030536912752,0.0155704697986577,"bistable",1024.62,0.79,8.44,9212.86,0.01
"235",304.092953020134,0.0155704697986577,"bistable",1024.51,0.79,8.44,9167.31,0.01
"236",304.155369127517,0.0155704697986577,"bistable",1024.39,0.79,8.44,9121.94,0.01
"237",304.217785234899,0.0155704697986577,"bistable",1024.27,0.79,8.44,9076.75,0.01
"238",304.280201342282,0.0155704697986577,"bistable",1024.14,0.79,8.44,9031.73,0.01
"239",304.342617449664,0.0155704697986577,"bistable",1023.99,0.78,8.44,8986.88,0.01
"240",304.405033557047,0.0155704697986577,"bistable",1023.84,0.78,8.44,8942.18,0.01
"241",304.46744966443,0.0155704697986577,"bistable",1023.67,0.78,8.44,8897.63,0.01
"242",304.529865771812,0.0155704697986577,"bistable",1023.5,0.78,8.43,8853.22,0.01
"243",304.592281879195,0.0155704697986577,"bistable",1023.31,0.78,8.43,8808.94,0.01
"244",304.654697986577,0.0155704697986577,"bistable",1023.1,0.78,8.43,8764.77,0.01
"245",304.71711409396,0.0155704697986577,"bistable",1022.87,0.78,8.43,8720.7,0.01
"246",304.779530201342,0.0155704697986577,"bistable",1022.63,0.78,8.43,8676.71,0.01
"247",304.841946308725,0.0155704697986577,"bistable",1022.36,0.78,8.42,8632.79,0.01
"248",304.904362416107,0.0155704697986577,"bistable",1022.06,0.77,8.42,8588.91,0.01
"249",304.96677852349,0.0155704697986577,"bistable",1021.74,0.77,8.42,8545.04,0.01
"250",305.029194630872,0.0155704697986577,"bistable",1021.38,0.77,8.42,8501.15,0.01
"251",305.091610738255,0.0155704697986577,"bistable",1020.98,0.77,8.41,8457.2,0.01
"252",305.154026845638,0.0155704697986577,"bistable",1020.53,0.77,8.41,8413.14,0.02
"253",305.21644295302,0.0155704697986577,"bistable",1020.03,0.77,8.4,8368.91,0.02
"254",305.278859060403,0.0155704697986577,"bistable",1019.46,0.77,8.4,8324.44,0.02
"255",305.341275167785,0.0155704697986577,"bistable",1018.81,0.77,8.4,8279.62,0.02
"256",305.403691275168,0.0155704697986577,"bistable",1018.05,0.76,8.39,8234.33,0.02
"257",305.46610738255,0.0155704697986577,"bistable",1017.18,0.76,8.38,8188.4,0.02
"258",305.528523489933,0.0155704697986577,"bistable",1016.14,0.76,8.37,8141.6,0.02
"259",305.590939597315,0.0155704697986577,"bistable",1014.9,0.76,8.36,8093.6,0.02
"260",305.653355704698,0.0155704697986577,"bistable",1013.38,0.76,8.35,8043.96,0.03
"261",305.715771812081,0.0155704697986577,"bistable",1011.49,0.76,8.34,7991.99,0.03
"262",305.778187919463,0.0155704697986577,"bistable",1009.06,0.76,8.32,7936.6,0.03
"263",305.840604026846,0.0155704697986577,"bistable",1005.84,0.75,8.29,7876.05,0.04
"264",305.903020134228,0.0155704697986577,"bistable",1001.36,0.75,8.26,7807.15,0.05
"265",305.965436241611,0.0155704697986577,"bistable",994.7,0.75,8.21,7723.66,0.06
"266",306.027852348993,0.0155704697986577,"bistable",983.73,0.75,8.12,7611.16,0.07
"267",306.090268456376,0.0155704697986577,"bistable",962.12,0.75,7.95,7426.81,0.11
"268",306.152684563758,0.0155704697986577,"bistable",896.93,0.74,7.44,6946.89,0.21
"269",306.215100671141,0.0155704697986577,"bare",0,0.14,0,117.3,1.15
"270",306.277516778523,0.0155704697986577,"bare",0,0.14,0,116.58,1.15
"271",306.339932885906,0.0155704697986577,"bare",0,0.14,0,115.86,1.15
"272",306.402348993289,0.0155704697986577,"bare",0,0.14,0,115.14,1.15
"273",306.464765100671,0.0155704697986577,"bare",0,0.14,0,114.43,1.15
"274",306.527181208054,0.0155704697986577,"bare",0,0.14,0,113.72,1.15
"275",306.589597315436,0.0155704697986577,"bare",0,0.14,0,113.02,1.15
"276",306.652013422819,0.0155704697986577,"bare",0,0.14,0,112.32,1.15
"277",306.714429530201,0.0155704697986577,"bare",0,0.14,0,111.63,1.15
"278",306.776845637584,0.0155704697986577,"bare",0,0.14,0,110.94,1.15
"279",306.839261744966,0.0155704697986577,"bare",0,0.14,0,110.25,1.15
"280",306.901677852349,0.0155704697986577,"bare",0,0.14,0,109.57,1.15
"281",306.964093959732,0.0155704697986577,"bare",0,0.14,0,108.89,1.15
"282",307.026510067114,0.0155704697986577,"bare",0,0.14,0,108.21,1.15
"283",307.088926174497,0.0155704697986577,"bare",0,0.14,0,107.54,1.15
"284",307.151342281879,0.0155704697986577,"bare",0,0.14,0,106.87,1.15
"285",307.213758389262,0.0155704697986577,"bare",0,0.14,0,106.21,1.15
"286",307.276174496644,0.0155704697986577,"bare",0,0.14,0,105.55,1.15
"287",307.338590604027,0.0155704697986577,"bare",0,0.14,0,104.9,1.15
"288",307.401006711409,0.0155704697986577,"bare",0,0.14,0,104.24,1.15
"289",307.463422818792,0.0155704697986577,"bare",0,0.14,0,103.6,1.15
"290",307.525838926174,0.0155704697986577,"bare",0,0.14,0,102.95,1.15
"291",307.588255033557,0.0155704697986577,"bare",0,0.14,0,102.31,1.15
"292",307.65067114094,0.0155704697986577,"bare",0,0.14,0,101.67,1.15
"293",307.713087248322,0.0155704697986577,"bare",0,0.14,0,101.04,1.15
"294",307.775503355705,0.0155704697986577,"bare",0,0.14,0,100.41,1.15
"295",307.837919463087,0.0155704697986577,"bare",0,0.14,0,99.79,1.15
"296",307.90033557047,0.0155704697986577,"bare",0,0.14,0,99.17,1.15
"297",307.962751677852,0.0155704697986577,"bare",0,0.13,0,98.55,1.15
"298",308.025167785235,0.0155704697986577,"bare",0,0.13,0,97.93,1.15
"299",308.087583892617,0.0155704697986577,"bare",0,0.13,0,97.32,1.15
"300",308.15,0.0155704697986577,"bare",0,0.13,0,96.71,1.15
"301",298.85,0.0161409395973154,"seagrass",1026.54,0.89,8.47,13895.68,0.01
"302",298.912416107383,0.0161409395973154,"seagrass",1026.54,0.88,8.47,13826.38,0.01
"303",298.974832214765,0.0161409395973154,"seagrass",1026.54,0.88,8.47,13757.44,0.01
"304",299.037248322148,0.0161409395973154,"seagrass",1026.55,0.88,8.47,13688.87,0.01
"305",299.09966442953,0.0161409395973154,"seagrass",1026.55,0.88,8.47,13620.66,0.01
"306",299.162080536913,0.0161409395973154,"seagrass",1026.55,0.88,8.47,13552.81,0.01
"307",299.224496644295,0.0161409395973154,"seagrass",1026.55,0.88,8.47,13485.32,0.01
"308",299.286912751678,0.0161409395973154,"seagrass",1026.55,0.88,8.47,13418.19,0.01
"309",299.34932885906,0.0161409395973154,"seagrass",1026.55,0.88,8.47,13351.41,0.01
"310",299.411744966443,0.0161409395973154,"seagrass",1026.55,0.88,8.47,13284.98,0.01
"311",299.474161073826,0.0161409395973154,"seagrass",1026.55,0.87,8.47,13218.9,0.01
"312",299.536577181208,0.0161409395973154,"seagrass",1026.54,0.87,8.47,13153.16,0.01
"313",299.598993288591,0.0161409395973154,"seagrass",1026.54,0.87,8.47,13087.78,0.01
"314",299.661409395973,0.0161409395973154,"seagrass",1026.54,0.87,8.47,13022.74,0.01
"315",299.723825503356,0.0161409395973154,"seagrass",1026.54,0.87,8.47,12958.04,0.01
"316",299.786241610738,0.0161409395973154,"seagrass",1026.54,0.87,8.47,12893.68,0.01
"317",299.848657718121,0.0161409395973154,"seagrass",1026.53,0.87,8.47,12829.65,0.01
"318",299.911073825503,0.0161409395973154,"seagrass",1026.53,0.87,8.47,12765.97,0.01
"319",299.973489932886,0.0161409395973154,"seagrass",1026.53,0.87,8.47,12702.62,0.01
"320",300.035906040268,0.0161409395973154,"seagrass",1026.52,0.86,8.47,12639.59,0.01
"321",300.098322147651,0.0161409395973154,"seagrass",1026.52,0.86,8.47,12576.9,0.01
"322",300.160738255034,0.0161409395973154,"seagrass",1026.51,0.86,8.47,12514.54,0.01
"323",300.223154362416,0.0161409395973154,"seagrass",1026.51,0.86,8.47,12452.51,0.01
"324",300.285570469799,0.0161409395973154,"seagrass",1026.5,0.86,8.47,12390.8,0.01
"325",300.347986577181,0.0161409395973154,"seagrass",1026.5,0.86,8.47,12329.41,0.01
"326",300.410402684564,0.0161409395973154,"seagrass",1026.49,0.86,8.47,12268.34,0.01
"327",300.472818791946,0.0161409395973154,"seagrass",1026.49,0.86,8.47,12207.59,0.01
